GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0100000US,,United States,0100000US,,United States,United States,308745538,308758105,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
0100000US,,United States,330M300US104,104,"United States - Albany-Schenectady, NY CSA","Albany-Schenectady, NY CSA",1168485,1168501,1168972,1169575,1171161,1172846,1173179,1173210,1173098,1176079
0100000US,,United States,330M300US106,106,"United States - Albuquerque-Santa Fe-Las Vegas, NM CSA","Albuquerque-Santa Fe-Las Vegas, NM CSA",1146049,1146064,1149111,1157494,1161310,1162622,1161927,1162897,1167082,1171974
0100000US,,United States,330M300US108,108,"United States - Amarillo-Borger, TX CSA","Amarillo-Borger, TX CSA",274083,274182,274884,278005,279781,280741,282560,283289,284606,286300
0100000US,,United States,330M300US118,118,"United States - Appleton-Oshkosh-Neenah, WI CSA","Appleton-Oshkosh-Neenah, WI CSA",392660,392660,393004,395049,397221,399252,400890,402288,403857,406540
0100000US,,United States,330M300US120,120,"United States - Asheville-Brevard, NC CSA","Asheville-Brevard, NC CSA",457948,457943,458423,461049,463997,468930,473018,478150,484385,490101
0100000US,,United States,330M300US122,122,"United States - Atlanta--Athens-Clarke County--Sandy Springs, GA CSA","Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",5910296,5910318,5928394,6002334,6084684,6154916,6247629,6354562,6457065,6555956
0100000US,,United States,330M300US140,140,"United States - Bend-Redmond-Prineville, OR CSA","Bend-Redmond-Prineville, OR CSA",178711,178711,178624,180231,181941,185963,190455,195757,203019,209998
0100000US,,United States,330M300US142,142,"United States - Birmingham-Hoover-Talladega, AL CSA","Birmingham-Hoover-Talladega, AL CSA",1343899,1344133,1344623,1345538,1348143,1352618,1355505,1358826,1360979,1364062
0100000US,,United States,330M300US144,144,"United States - Bloomington-Bedford, IN CSA","Bloomington-Bedford, IN CSA",205683,205670,206188,207733,208754,208921,210080,210633,212189,213491
0100000US,,United States,330M300US145,145,"United States - Bloomington-Pontiac, IL CSA","Bloomington-Pontiac, IL CSA",225083,225083,225256,226124,227524,228499,226956,225573,225322,224750
0100000US,,United States,330M300US146,146,"United States - Bloomsburg-Berwick-Sunbury, PA CSA","Bloomsburg-Berwick-Sunbury, PA CSA",264739,264735,264671,264669,264973,264486,264569,264251,262968,261629
0100000US,,United States,330M300US147,147,"United States - Boise City-Mountain Home-Ontario, ID-OR CSA","Boise City-Mountain Home-Ontario, ID-OR CSA",697535,697540,699087,706921,716928,728572,741955,753088,770213,790363
0100000US,,United States,330M300US148,148,"United States - Boston-Worcester-Providence, MA-RI-NH-CT CSA","Boston-Worcester-Providence, MA-RI-NH-CT CSA",7893376,7893712,7909845,7956343,8006386,8058931,8110878,8151618,8188440,8233270
