GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0100000US,,United States,310M300US13380,13380,"United States - Bellingham, WA Metro Area","Bellingham, WA Metro Area",201140,201145,201520,203447,204878,206189,208112,211713,216274,221404
0100000US,,United States,310M300US13460,13460,"United States - Bend-Redmond, OR Metro Area","Bend-Redmond, OR Metro Area",157733,157733,157740,159605,161343,165270,169497,174288,180675,186875
0100000US,,United States,310M300US13740,13740,"United States - Billings, MT Metro Area","Billings, MT Metro Area",158934,158934,159297,160622,162568,164783,166360,167531,168961,170498
0100000US,,United States,310M300US13780,13780,"United States - Binghamton, NY Metro Area","Binghamton, NY Metro Area",251725,251737,251519,250321,249064,248323,247469,245615,243608,242217
0100000US,,United States,310M300US13820,13820,"United States - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",1128047,1128056,1128791,1130457,1133409,1138173,1141099,1144518,1146888,1149807
0100000US,,United States,310M300US13900,13900,"United States - Bismarck, ND Metro Area","Bismarck, ND Metro Area",114778,114778,115253,117318,120233,123885,126704,129583,131397,132142
0100000US,,United States,310M300US13980,13980,"United States - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178253,178530,178949,179572,180862,181357,181464,182635,182993
0100000US,,United States,310M300US14010,14010,"United States - Bloomington, IL Metro Area","Bloomington, IL Metro Area",186133,186133,186398,187325,189016,191110,189944,188905,188847,188232
0100000US,,United States,310M300US14020,14020,"United States - Bloomington, IN Metro Area","Bloomington, IN Metro Area",159549,159541,160086,161603,162653,163039,164434,165056,166614,167825
0100000US,,United States,310M300US14100,14100,"United States - Bloomsburg-Berwick, PA Metro Area","Bloomsburg-Berwick, PA Metro Area",85562,85563,85655,85415,85458,85563,85484,84950,84382,84204
0100000US,,United States,310M300US14260,14260,"United States - Boise City, ID Metro Area","Boise City, ID Metro Area",616561,616568,617980,627349,637354,649140,662625,674310,690810,709845
0100000US,,United States,310M300US14460,14460,"United States - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552596,4565220,4608303,4653023,4699912,4741544,4775755,4805942,4836531
0100000US,,United States,314M300US1446014454,1446014454,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Boston, MA Metro Division","Boston, MA Metro Division",1887792,1888053,1894307,1912683,1932206,1952713,1970027,1984994,1999803,2013403
0100000US,,United States,314M300US1446015764,1446015764,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Cambridge-Newton-Framingham, MA Metro Division","Cambridge-Newton-Framingham, MA Metro Division",2246244,2246189,2252450,2275681,2298590,2323584,2344552,2362352,2374947,2388152
0100000US,,United States,314M300US1446040484,1446040484,"United States - Boston-Cambridge-Newton, MA-NH Metro Area - Rockingham County-Strafford County, NH Metro Division","Rockingham County-Strafford County, NH Metro Division",418366,418354,418463,419939,422227,423615,426965,428409,431192,434976
0100000US,,United States,310M300US14500,14500,"United States - Boulder, CO Metro Area","Boulder, CO Metro Area",294567,294572,295930,300518,305028,309749,312505,317968,321173,322514
0100000US,,United States,310M300US14540,14540,"United States - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",158599,158599,159309,160913,162296,164246,166221,169108,171839,174835
0100000US,,United States,310M300US14740,14740,"United States - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",251133,251137,251658,254250,254306,252434,253381,259175,263109,266414
0100000US,,United States,310M300US14860,14860,"United States - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916846,919749,929398,936345,942865,946547,948116,949191,949921
0100000US,,United States,310M300US15180,15180,"United States - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",406220,406219,407590,412917,415370,417095,418838,419579,421766,423725
0100000US,,United States,310M300US15260,15260,"United States - Brunswick, GA Metro Area","Brunswick, GA Metro Area",112370,112368,112530,112945,113361,113860,114735,116020,116955,118119
0100000US,,United States,310M300US15380,15380,"United States - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135617,1135710,1136059,1135717,1136993,1137924,1136662,1134914,1136856
0100000US,,United States,310M300US15500,15500,"United States - Burlington, NC Metro Area","Burlington, NC Metro Area",151131,151198,151490,152857,153471,154417,155698,157389,159325,162391
0100000US,,United States,310M300US15540,15540,"United States - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",211261,211262,211514,212774,213744,214940,216182,216812,217429,218395
0100000US,,United States,310M300US15680,15680,"United States - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",105151,105148,105764,107585,108831,109275,110016,111100,111835,112667
0100000US,,United States,310M300US15940,15940,"United States - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",404422,404428,404214,403291,403403,403281,403680,402435,401165,399927
0100000US,,United States,310M300US15980,15980,"United States - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",618754,618754,620467,631077,644580,660431,678241,700421,722506,739224
0100000US,,United States,310M300US16020,16020,"United States - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96275,96275,96448,96937,97193,97187,97396,97231,97085,96782
0100000US,,United States,310M300US16060,16060,"United States - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126575,126580,126813,127041,125752,127067,126712,126896,126672,125612
0100000US,,United States,310M300US16180,16180,"United States - Carson City, NV Metro Area","Carson City, NV Metro Area",55274,55274,54988,54703,54362,53791,54155,54123,54283,54745
0100000US,,United States,310M300US16220,16220,"United States - Casper, WY Metro Area","Casper, WY Metro Area",75450,75450,75456,76421,78583,81101,81439,82134,80892,79547
0100000US,,United States,310M300US16300,16300,"United States - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",257940,257941,258395,260796,261740,262449,263963,265984,267925,270293
0100000US,,United States,310M300US16540,16540,"United States - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",149618,149618,149930,150952,151477,151855,152459,152903,153564,154234
0100000US,,United States,310M300US16580,16580,"United States - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",231891,231889,232333,233391,234478,235731,237028,238228,239135,239124
0100000US,,United States,310M300US16620,16620,"United States - Charleston, WV Metro Area","Charleston, WV Metro Area",227078,227061,226901,225823,225696,224644,222802,220236,217735,214406
0100000US,,United States,310M300US16700,16700,"United States - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",664607,664644,667466,681261,696993,711407,726770,745061,761904,775831
0100000US,,United States,310M300US16740,16740,"United States - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2216992,2223196,2256180,2293822,2334036,2376148,2424115,2475519,2525305
0100000US,,United States,310M300US16820,16820,"United States - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",218705,218707,219025,220947,222649,224057,226297,228818,231160,233793
0100000US,,United States,310M300US16860,16860,"United States - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",528143,528152,529196,533540,538108,542036,544017,547232,551957,556548
0100000US,,United States,310M300US16940,16940,"United States - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",91738,91881,92219,92587,94704,95731,96123,97005,97968,98327
0100000US,,United States,310M300US16980,16980,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461541,9471312,9497177,9525765,9548402,9560874,9557503,9546326,9533040
0100000US,,United States,314M300US1698016974,1698016974,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Chicago-Naperville-Arlington Heights, IL Metro Division","Chicago-Naperville-Arlington Heights, IL Metro Division",7262718,7263063,7270973,7297366,7324450,7343501,7351417,7347063,7335054,7319978
0100000US,,United States,314M300US1698020994,1698020994,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Elgin, IL Metro Division","Elgin, IL Metro Division",620429,620538,621291,623529,625312,627451,631123,634402,637000,639400
